AGE,INCTOT
53,20000
29,600
28,5000
53,10400
32,100
40,13000
27,28000
27,27000
59,2400
53,6900
43,69000
24,30000
86,26200
42,19000
42,12600
59,5100
54,120
24,16500
25,36000
62,1000
68,12100
59,4800
20,18000
21,18000
19,17500
35,430
79,12350
68,4850
48,1200
55,9000
54,90000
47,9400
27,500
23,6200
52,37000
73,11100
71,3400
52,10600
51,16300
84,12300
39,4200
29,20000
40,11000
34,30700
31,4000
29,24000
34,7200
23,4700
20,1900
46,28000
16,4800
29,3200
46,34000
48,3200
30,2300
29,16200
29,23000
58,13900
68,26960
49,7300
29,22000
30,8800
42,9500
44,21000
26,8700
52,15000
54,13500
19,7100
63,27010
29,13000
78,5200
44,33900
70,12000
18,3800
62,80000
76,28670
43,37000
35,22740
34,5240
62,5300
56,57000
55,21000
24,5300
51,900
28,300
55,6100
65,1800
20,3000
19,4800
16,9600
51,38000
65,39100
17,9200
19,11000
81,4200
32,95400
32,46000
55,11300
39,35000
35,5000
54,35000
93,9750
30,1000
52,26220
18,4900
29,30500
41,30160
17,500
54,13300
57,13300
82,7500
63,28400
70,11800
51,13500
40,26000
43,52000
39,14400
34,6100
32,19000
28,19000
34,31000
41,36000
63,24600
42,16500
36,39400
63,92000
47,101210
77,6400
37,48500
36,21000
16,900
67,51120
69,15100
27,52000
23,10000
19,8000
36,25000
44,31000
50,14600
42,2000
47,5500
49,8700
15,6100
19,2600
30,22000
19,1600
57,65000
41,85000
61,47000
56,33600
25,25800
25,27000
58,75000
24,1800
68,32000
41,31000
43,10600
34,49300
23,40000
25,5100
54,29000
45,22800
49,68500
42,4700
23,23500
58,7900
67,3600
71,3700
45,26800
27,12600
24,1590
74,6600
72,5500
17,3000
42,30000
35,9400
39,5000
65,43500
63,49100
78,15200
32,34000
67,40000
27,34000
27,24000
40,28000
77,52800
51,32000
42,17500
18,2500
50,10100
40,47900
31,6000
75,73240
74,20100
74,21850
76,5200
39,25430
37,47690
51,5000
21,20000
24,1000
51,65000
36,50000
43,29200
17,950
83,2900
59,15000
67,30000
18,2700
39,62500
51,21000
32,26700
27,12500
67,19300
39,21100
36,28000
67,5630
72,14200
66,6000
46,39800
47,49200
53,37000
53,40400
24,20200
80,3200
42,42000
16,3600
38,19000
41,22000
49,19000
64,14000
39,23000
61,20000
18,4500
72,10950
74,4750
39,5300
20,9600
33,28000
57,33840
41,12000
18,840
42,62000
48,7000
17,1300
55,47200
38,9600
55,7130
55,4800
27,6100
26,5000
70,8400
60,32900
43,22600
69,24200
60,24000
76,7100
45,600
62,7000
81,12500
73,6530
39,19500
16,6500
60,35050
58,6000
69,11900
50,1500
78,6250
63,2400
29,35500
48,25200
15,600
73,7400
66,3850
40,21410
44,2500
89,8700
84,6000
30,26400
26,9600
61,22000
66,500
57,72200
53,8000
17,3010
44,46000
35,6000
70,10900
33,3000
30,8200
24,27000
25,5500
62,30000
61,12000
52,60000
48,32500
59,42400
55,8500
34,28500
22,10300
60,5400
41,23000
78,39900
72,5600
65,16800
70,34700
38,1700
35,28700
45,63100
56,11500
60,5300
70,15600
40,5000
31,18200
70,12800
37,16000
35,45000
31,10800
33,20000
67,9100
71,15000
22,1700
22,7320
46,12000
28,15000
66,6300
67,16500
31,20500
33,26000
42,87600
41,3200
44,38260
45,7300
18,3130
58,32000
41,20000
48,4880
50,280
64,39400
70,6400
58,2000
37,81000
38,5000
56,9770
68,15000
69,3850
53,24300
75,9500
51,42700
33,24000
71,25830
46,15000
52,55000
47,1000
19,3500
64,9300
62,9100
80,11000
56,200
28,17000
54,37600
59,3400
51,17000
45,27600
42,39300
65,10300
20,28500
29,26500
31,33000
61,6000
61,4500
52,49000
44,8900
23,14000
52,4000
58,1260
25,5900
19,800
37,9700
51,12000
79,10600
25,13000
34,41000
70,6500
66,5600
36,5100
40,22000
52,31900
46,60000
42,4000
15,800
76,12600
27,14000
27,19000
49,21000
77,9600
76,22900
76,44500
68,3500
46,58000
54,13000
47,9000
44,36000
40,21100
16,1100
57,73000
24,17000
23,11000
34,26000
35,4500
46,26000
89,10400
56,2300
18,20000
16,920
22,30000
57,70000
73,9000
65,4500
40,38000
40,1400
17,4000
73,6400
41,38000
21,17000
70,5400
68,6100
32,50800
34,29500
49,28000
73,38200
42,60000
40,6500
36,30000
41,50000
30,6000
27,3600
16,950
53,2000
29,7000
27,7400
33,10000
24,9400
52,1500
45,16000
29,26000
33,21700
67,19900
66,17800
59,12000
78,22000
77,10100
76,7500
28,28000
63,18000
62,10000
61,44000
22,10000
23,4000
62,32600
42,8200
34,14500
28,29000
53,37300
50,14800
58,90
58,5900
49,43300
32,36000
68,9600
48,6000
56,50000
37,40000
50,12000
33,23400
71,10900
30,5270
44,29000
25,10000
76,1800
84,14400
38,24500
15,3900
44,4100
33,5000
32,68000
62,24000
41,20500
36,25800
42,8800
39,21300
71,11900
75,4700
50,5900
49,5900
58,6500
56,1100
72,6000
35,14000
36,29100
33,9200
31,10000
32,3400
40,1000
56,12000
72,42900
63,20000
45,31000
47,27900
19,3730
47,36000
46,8000
74,16900
81,13300
35,44500
57,14800
71,6000
52,12000
77,4000
45,8800
48,65180
39,33000
38,24000
38,40000
47,46000
42,16000
64,7400
89,5800
36,420
15,2500
25,8600
28,23000
51,49000
39,8000
42,17000
29,5900
58,40000
43,28600
82,41600
88,12320
28,20000
52,16000
58,18800
38,42000
36,22000
19,390
29,4800
16,3000
63,30000
62,40000
40,100
15,4600
44,15400
74,17000
75,19780
66,7200
16,2410
60,26500
65,5700
68,5700
24,34000
23,12800
37,5300
38,12740
63,30900
45,8100
27,55000
20,3500
62,48000
30,55600
33,29000
68,58500
70,23000
21,50000
25,10800
28,12000
32,5000
46,23490
52,6500
55,6500
30,25000
60,42000
59,2500
64,26000
64,6100
38,21800
16,5600
43,74500
19,14000
53,15600
24,140
55,22500
93,4100
52,3000
60,89000
49,12800
39,20000
18,10000
19,17800
16,14000
26,8000
26,16840
18,880
30,20000
51,3600
52,28700
47,56000
28,34000
25,5600
47,20690
21,10500
41,11000
45,21000
41,12600
45,90000
50,75000
51,70000
44,26000
22,11200
39,11460
60,1200
80,6200
61,240
35,16000
38,14600
43,10400
42,4100
25,1200
25,40000
68,12750
67,87000
45,11600
19,4700
15,7700
29,11600
28,3300
49,5700
45,14900
57,40000
54,20000
82,11000
47,50000
45,7000
16,2000
26,24000
42,11200
45,35700
37,52000
36,9000
20,14500
45,770
41,18000
71,2800
26,5600
16,9400
52,7200
73,33300
22,23000
23,23000
58,24800
69,28900
66,5400
64,15600
36,14000
34,33000
58,47500
60,25000
26,7000
20,1100
44,15000
24,11700
20,10000
47,32000
81,9000
76,11900
43,32020
45,38000
41,27000
47,41000
38,20100
37,14000
39,22000
19,36800
82,42500
52,40
55,6000
21,6100
37,19000
80,18900
70,9600
55,92000
51,37600
87,12300
62,48800
58,20
24,22010
24,20000
66,32500
62,2100
55,28500
65,4400
67,56000
42,9000
58,56600
54,9600
70,14700
62,29750
66,11400
62,8000
80,13200
86,24700
89,18500
45,35000
23,6000
18,13700
45,43000
34,22000
58,35600
56,19000
46,37000
38,10000
62,19000
37,29400
37,23300
65,30600
57,32000
55,8000
22,8500
24,16800
50,24900
46,19200
25,15600
20,3300
22,24300
59,6100
27,18000
70,29000
59,25000
51,1600
28,3000
48,58000
41,110
69,41400
69,10400
56,22000
83,5100
57,3400
51,68000
51,42000
59,10000
30,3800
17,820
72,2500
50,7000
53,9580
32,62000
29,17200
34,18000
58,3010
41,180
22,300
20,200
17,40
52,21300
35,6200
29,6400
82,7100
67,6330
55,15100
33,10800
70,52200
26,13000
28,9000
37,11000
33,21000
42,6000
16,600
25,22000
53,41000
49,10000
66,7000
34,23300
93,18700
38,16000
17,4300
16,690
53,71000
26,26000
21,11000
25,1700
62,440
48,33300
63,4480
62,510
57,19900
48,8000
50,80000
47,96360
18,2800
76,14400
61,13500
62,8800
46,8400
19,630
47,12000
69,50400
60,26400
30,22900
72,21100
73,8000
63,5000
28,8000
53,40000
49,29100
47,82000
43,74000
50,54000
44,45000
38,72900
17,600
38,35000
18,1000
47,6000
22,3400
24,6300
40,14000
36,400
33,15800
36,21500
52,8100
49,33000
70,21700
68,7800
45,35400
84,24100
32,1300
50,5000
27,2300
29,6000
43,56000
47,29000
78,5100
25,47500
33,33000
61,52000
66,1000
58,1500
49,22000
27,66800
66,11700
39,4100
71,27400
68,38800
74,4170
77,42500
44,12550
63,12500
62,7200
64,60100
56,20000
31,12000
24,16000
53,10500
29,9400
31,21900
80,43600
78,5600
49,43000
59,24000
20,2500
37,13000
47,11400
20,4860
30,2800
52,40100
52,10000
17,80
40,16200
37,17700
18,1800
20,15000
33,53000
52,68000
63,37000
50,750
27,25010
58,36600
29,4700
23,560
49,2600
28,24000
31,24000
20,520
16,1500
18,6400
32,41000
29,27500
67,18100
29,8100
57,12000
46,19600
26,1500
20,300
93,6100
55,5400
60,35300
58,15200
45,37000
69,39000
67,19200
52,50000
56,28000
66,4000
60,56700
37,34500
89,5600
43,4000
40,13600
59,39000
40,40000
21,7100
27,4710
55,12100
53,12600
30,5740
44,6100
66,6200
33,34000
29,40000
34,7000
64,14300
66,12400
63,6100
43,39200
45,25000
26,14000
24,4400
47,43800
45,3000
25,23400
72,20500
68,4600
63,17400
30,52000
88,900
42,19200
32,14500
75,49700
71,52490
17,6000
93,6400
57,1500
54,1500
52,51000
40,7000
20,5050
16,3200
36,6000
68,5900
46,1000
33,17500
68,10200
73,17200
78,6500
44,17900
61,70000
61,50000
49,25000
51,19600
46,13000
20,5500
22,700
23,19000
54,83000
44,27000
57,32900
35,9000
34,23000
50,15100
15,6000
66,39900
24,30900
42,28000
38,18000
20,4000
39,19200
47,40000
80,9100
54,34000
93,21500
72,15550
66,11550
35,12000
40,45000
51,50000
49,12000
30,17000
73,8700
47,8000
34,14400
61,4600
60,4600
24,1500
42,31400
41,4700
75,21600
27,31500
74,9500
51,6100
33,5900
72,6400
51,35000
35,20000
16,8000
40,41600
36,2900
63,60000
62,43940
18,970
17,7500
26,70000
50,33600
35,15000
79,20400
44,55000
46,24000
22,3000
67,1300
77,6900
29,20200
56,6100
33,2000
38,7000
50,4600
68,24200
61,30000
36,19000
32,2400
70,5200
38,7800
74,14900
76,10000
63,6800
63,3000
54,16000
52,24000
55,6300
46,65000
45,17000
34,5700
29,12200
34,1400
26,37000
73,10800
54,56300
54,19700
70,250
69,350
50,8000
16,800
30,6100
37,2100
29,20100
44,27200
44,67200
44,8200
47,710
30,9600
43,26600
40,14500
32,16500
53,33000
36,23000
59,79000
41,1000
38,17000
18,8500
60,14000
46,1900
25,19200
26,9000
46,10500
51,12900
39,23500
34,20000
41,40000
40,30000
39,30000
35,1000
46,16000
16,28030
53,50000
25,35000
22,1800
61,17700
54,6100
59,54000
78,6400
37,400
87,57700
72,20400
61,9900
51,40100
60,2500
52,22200
41,5000
16,5000
57,30000
52,48000
34,8400
33,7200
82,6800
70,34100
66,35300
68,7700
30,25550
38,13000
71,10200
45,65000
55,33000
29,12000
75,5200
42,6200
64,20000
27,1500
41,2900
40,22300
25,2000
47,26000
45,20700
31,78000
29,35100
88,22000
85,5100
47,27000
28,2900
25,300
27,21900
36,12200
52,10500
69,15700
56,14000
51,13200
53,5900
77,18000
66,8500
52,2050
76,69900
22,12100
35,54000
36,8600
53,49400
51,11300
27,11000
26,20730
26,30500
78,17600
43,28000
25,6000
53,45050
45,300
42,16600
21,5900
43,5900
33,30000
49,15000
31,13000
41,35000
64,60500
43,23700
46,3500
83,19800
60,54800
58,6600
62,18100
44,48000
67,47900
56,83000
38,27000
37,7000
38,23000
31,45000
28,2500
57,58000
27,20000
56,1200
57,1600
87,10800
69,10600
49,32000
41,16000
22,2100
54,23900
69,30400
65,10250
59,31000
25,48000
27,20200
22,14000
23,9000
59,40800
46,11900
17,1400
44,2000
65,8500
41,14000
22,21000
16,200
42,22020
18,7010
35,11300
51,52130
48,4000
16,30
59,38600
32,16000
32,4200
49,21800
68,28800
57,36100
84,70500
58,3600
57,7200
25,7200
27,2500
64,11800
35,25900
24,15600
74,4200
24,12650
30,10000
75,53800
40,9300
59,31740
58,104640
36,45000
86,15600
33,1500
55,13800
48,22500
47,24500
42,50000
43,12700
66,4500
37,4500
43,370
48,9130
28,4400
68,35000
39,20100
16,1000
40,1500
76,7200
60,36000
54,40000
27,21050
81,5000
72,14900
39,37000
18,1500
16,4000
67,6100
61,6100
44,20000
42,18000
80,18300
24,2990
70,4900
34,35000
56,16300
64,5800
52,11100
32,24000
23,3300
79,4300
63,10810
30,38000
71,5300
30,55000
63,34000
33,14500
27,12800
84,3940
48,800
48,34300
49,20200
49,24100
32,10000
37,8000
39,67000
35,19010
21,3700
19,5800
59,1900
43,54000
40,2100
47,35100
19,1000
20,400
19,170
28,16000
48,63350
46,16600
45,30400
46,35300
66,17300
50,42000
34,10000
46,49800
30,60000
60,48000
41,13000
43,30000
21,7500
78,36600
21,5500
93,2400
63,10800
30,1600
73,14310
23,30000
83,22600
31,30000
28,21000
56,24000
79,18880
79,790
61,64600
45,1000
69,14000
74,8000
65,2600
39,7200
24,10100
22,19500
56,44300
60,7600
44,61000
46,20000
58,49000
55,14000
58,14000
62,27000
32,13000
54,6000
20,10500
87,14260
30,5300
27,10100
21,7200
79,23800
68,5800
32,2100
33,4100
44,4000
45,47600
42,3100
36,15000
72,10600
45,11700
69,35000
35,68000
93,5000
45,25600
60,7100
27,4000
43,4900
53,64800
45,5300
21,21000
33,12000
32,13300
55,9600
16,1400
72,14540
45,23000
84,34100
80,2200
55,77090
25,16000
45,18810
37,700
40,44300
17,1200
71,25500
72,13200
61,4800
53,48500
52,77500
33,22900
25,32000
62,1300
45,6500
58,53000
31,50500
82,37200
39,9000
28,21100
28,8800
40,7800
38,54004
82,10000
64,9800
48,14000
37,31400
68,5100
37,21500
43,4600
39,12000
43,15100
44,53000
19,3700
54,8000
45,15900
44,6000
52,41000
27,19500
60,12100
58,40430
55,29800
68,19900
60,19200
42,12000
73,14400
64,12000
49,44000
50,45000
46,17200
23,24000
42,22000
51,28000
49,18000
48,19200
48,3800
62,13800
68,3800
31,3000
67,6700
22,18890
19,5900
39,54400
57,60440
45,5800
76,12160
62,35800
58,23300
43,20830
21,3330
64,8700
27,6000
27,30000
76,43800
84,5800
40,18100
37,32600
19,6700
77,15000
31,51000
30,450
65,8000
42,6600
75,17400
51,59000
34,2900
44,28000
59,59070
63,12100
46,5000
50,840
28,32000
24,4500
20,4200
36,24500
39,350
16,6100
47,2000
24,1200
20,8200
67,3480
48,21000
48,25000
40,35000
64,62900
61,45700
28,2800
40,23000
17,5800
45,8500
60,1630
63,35500
27,5100
39,12200
44,2400
39,33200
35,42120
30,23070
50,1100
47,5940
63,54540
75,6800
69,1200
29,6320
22,390
47,5200
44,2100
23,1500
21,640
15,2100
50,38000
45,38170
58,48100
35,14400
48,23000
28,2450
23,4910
93,6200
32,11600
22,10400
26,5310
26,800
49,31200
48,24000
19,1200
84,8800
76,3700
81,7000
34,13200
37,25050
47,54000
21,300
38,2800
27,21000
62,43000
74,21000
58,17300
63,2100
42,3500
29,9000
71,10600
68,13600
63,92340
65,36900
55,62200
49,50000
74,42600
75,19500
39,69200
46,23600
17,2200
83,13800
48,16200
44,16000
37,24900
44,33030
58,65000
55,1600
50,36000
29,8600
44,15100
38,74000
43,52300
24,11000
73,19300
69,31440
61,4200
51,45500
52,2000
36,40040
30,27000
38,13800
54,36000
23,13000
20,9000
21,2100
46,53900
48,4900
21,11500
17,510
49,60000
22,13000
54,30000
43,35000
81,9600
58,2100
69,6100
29,6100
35,21800
88,5400
67,19700
73,4130
72,55300
67,31800
70,9300
70,17800
62,3600
30,5400
40,10100
40,70000
44,12000
33,15400
31,600
38,13200
50,28000
80,50100
64,15000
40,29400
38,17400
21,1200
66,23000
38,39050
17,650
69,11300
69,8000
43,3400
78,19400
45,13500
84,67000
82,5600
30,18000
31,2400
29,2900
40,16300
60,30000
42,12200
41,65000
39,25000
21,65200
65,12600
57,10000
20,7000
17,17000
50,19000
35,43000
63,33100
54,30100
36,7500
44,32700
38,19040
19,1100
18,1130
17,1700
83,6400
43,1500
39,6800
70,51120
72,10250
61,21000
62,39800
41,23300
74,13400
34,37000
33,5700
40,10000
76,9100
76,35600
76,37460
59,9330
23,4180
59,19000
67,31000
44,30000
70,9330
76,13900
73,18000
73,6000
26,18000
20,3100
47,9900
63,410
66,17700
79,3840
63,15600
27,400
50,33000
39,36000
17,5300
15,5200
51,36000
48,760
17,70
43,13000
30,50000
71,23600
68,6200
56,90000
89,1004
82,22100
81,20100
38,50000
52,180
34,6200
31,3100
76,13200
52,83000
48,10600
53,3200
57,7080
22,64000
18,4600
67,4660
65,6400
86,13500
86,5900
60,8400
69,18880
73,24100
44,3200
35,23000
42,3200
52,20800
66,5300
42,11000
81,9160
51,64270
49,19100
27,16000
55,15000
51,11000
65,17200
77,5150
67,27020
68,36400
78,15300
71,3800
93,6320
87,9100
75,4600
56,2400
75,12900
81,7200
85,6400
49,440
52,40000
51,10300
18,500
57,9000
38,36000
53,3000
53,55000
48,45000
35,19000
37,170
43,200
65,34600
38,12100
17,5000
20,1500
33,19000
36,590
21,15000
24,1700
24,5600
62,25000
56,42000
29,11200
54,8780
66,6100
77,3300
22,2000
31,39000
28,1500
42,23000
76,18140
69,5200
86,4100
73,10600
33,3200
45,10400
45,29000
21,19900
20,19000
82,4500
71,6100
31,170
41,6100
46,32000
28,9500
79,17000
35,15400
76,4100
77,4200
57,2300
29,4000
28,4100
50,25900
44,8000
28,25000
30,32000
75,26600
76,2600
31,28700
48,44000
42,6500
43,6100
28,60000
37,5000
43,48500
36,55000
39,21000
62,2400
30,39500
43,31800
17,880
78,2600
35,1200
38,44000
35,17000
65,40300
57,77030
21,16920
34,76000
59,9800
21,34360
55,2100
47,33200
21,780
72,10000
28,13200
45,2000
45,40000
32,1400
51,6400
27,4200
21,1500
53,26000
35,7120
32,3800
68,14300
43,11700
72,3600
29,6800
64,40230
60,12000
65,10000
38,1500
50,2600
46,31840
18,2070
16,670
15,590
85,24100
74,4600
75,500
35,26100
33,8200
50,4300
78,6300
53,9500
64,17000
37,6000
43,41200
17,300
52,17100
49,39000
75,1200
45,13800
32,23000
48,68800
47,45000
66,17100
34,29200
39,11000
30,2500
38,4600
15,650
43,43400
33,160
48,28180
64,40700
54,17300
43,30240
16,3500
58,15100
34,19000
73,4000
71,4000
15,1600
57,22440
54,52000
53,34700
55,4300
57,44000
55,6200
31,2990
39,2600
57,37100
50,35100
82,4800
47,8600
33,5550
72,31400
64,30000
67,6000
25,18800
25,17100
64,28910
54,50080
72,8600
66,2900
47,30900
23,27000
16,100
68,31600
70,14100
75,11100
65,11500
53,18900
42,23300
58,68000
51,24200
45,18300
21,8000
22,880
15,280
64,8430
73,9100
41,7000
27,21500
41,29620
80,31200
73,5600
51,27580
48,11700
39,5790
64,100650
58,12300
49,1000
48,9600
77,10900
16,3800
55,13000
31,17000
46,27000
53,84000
41,550
42,800
73,22700
42,2400
36,2400
58,110
17,2300
43,50000
19,8900
83,6000
78,2500
34,29300
48,72000
15,9600
49,34200
46,33200
83,32400
75,20400
16,1200
27,23000
24,25000
26,3000
36,65020
26,4500
49,58000
42,61000
68,5010
32,9800
32,18000
44,25000
33,6200
27,3200
66,5500
78,44400
46,52000
48,14500
19,1400
66,25000
63,11000
28,24200
39,19000
41,920
45,50000
45,11000
69,6900
68,3200
47,7500
63,1900
34,55000
64,32320
39,7000
53,66600
54,42550
63,530
78,21100
89,9800
34,15000
55,7620
57,320
49,40000
46,26800
53,5000
30,45000
71,6400
41,1600
59,48000
53,55010
39,10200
53,35000
52,35850
48,6300
80,11500
77,61400
71,3600
51,9900
27,660
76,6800
31,23400
30,10400
21,53000
19,4000
38,59000
