Actual Prices,Predicted Prices
112000.0,157842.3
284000.0,289505.16
133000.0,146941.58
149000.0,142228.5
169000.0,179898.69
207000.0,180417.25
175000.0,181348.23
137000.0,130661.83
236000.0,240534.68
79500.0,113627.0
144000.0,144121.36
162900.0,179950.0
185900.0,188251.9
369900.0,365029.27
197900.0,209055.98
104000.0,147195.61
35311.0,78066.83
337500.0,323934.77
367294.0,363990.0
130250.0,127166.16
230000.0,229584.43
755000.0,577380.37
403000.0,334735.32
132000.0,129126.75
178000.0,178798.3
136500.0,161392.5
145000.0,139004.75
123000.0,115229.78
250000.0,219663.06
187100.0,197740.29
133900.0,130855.1
67000.0,74831.54
137500.0,109137.5
155000.0,141120.38
200624.0,216181.7
154300.0,146957.22
91000.0,98343.33
136000.0,139670.36
108959.0,142954.23
140000.0,152452.32
86000.0,87669.5
131400.0,132107.5
179900.0,227563.15
144000.0,149411.12
293077.0,305489.35
144500.0,149605.0
118500.0,119368.83
141000.0,125572.06
239000.0,205439.62
276000.0,332706.97
556581.0,421990.38
244400.0,228618.48
360000.0,365481.96
103200.0,99618.0
102000.0,128048.51
151000.0,160198.8
285000.0,331669.78
134432.0,141336.47
113000.0,138872.54
187500.0,208134.17
125500.0,119556.5
177500.0,169743.58
179900.0,160598.5
55993.0,97826.0
132500.0,135391.1
135000.0,141078.14
255000.0,260028.66
140000.0,154465.64
271000.0,285318.62
246578.0,206449.53
202500.0,193991.99
75000.0,86578.0
122500.0,126630.1
108480.0,118401.75
160000.0,125977.5
171000.0,146120.37
196000.0,192543.01
225000.0,159331.89
197000.0,243491.89
40000.0,98746.88
172500.0,217275.96
154900.0,112936.0
280000.0,229022.3
175000.0,191172.5
147000.0,129820.36
315000.0,324531.02
185000.0,194104.19
135500.0,127418.03
239500.0,237872.69
139000.0,139139.0
140000.0,149069.34
110000.0,114519.5
225000.0,228988.0
143500.0,144460.9
128950.0,121512.75
172500.0,161220.04
241500.0,181221.87
262500.0,275340.76
194201.0,182726.47
143000.0,142985.0
130000.0,124681.0
126000.0,142237.1
142500.0,140958.5
254000.0,243694.19
217500.0,183065.05
66500.0,106143.54
201000.0,232497.95
155000.0,145338.25
68400.0,104877.5
64500.0,109739.5
173000.0,171298.4
102776.0,110197.0
84900.0,108430.0
165600.0,181827.61
120000.0,120327.0
135000.0,140999.5
220000.0,237964.55
153575.0,135855.16
195400.0,196132.11
147000.0,146615.5
277000.0,256363.42
143000.0,118704.49
105900.0,118524.08
242000.0,236495.2
194500.0,207044.06
438780.0,391738.86
185000.0,189958.25
107500.0,132627.0
165000.0,158006.3
176000.0,159495.95
129900.0,141629.75
115000.0,104996.49
192140.0,173104.04
160000.0,172584.35
145000.0,141928.82
86000.0,98159.0
158000.0,144840.0
127500.0,140838.25
115000.0,113963.4
119500.0,110266.04
175900.0,179095.62
240000.0,266265.59
395000.0,306654.41
165000.0,163291.5
128200.0,126061.5
275000.0,220814.48
311872.0,241350.01
214000.0,205993.8
153500.0,167979.02
144000.0,139079.5
115000.0,119328.05
180000.0,169112.91
465000.0,377642.07
180000.0,210960.0
253000.0,236004.32
85000.0,111689.31
101800.0,102443.64
148500.0,139905.5
137500.0,136538.68
318061.0,324189.46
143000.0,193932.5
140000.0,152093.0
192500.0,211757.42
92000.0,96841.0
197000.0,195592.07
109500.0,108796.5
297000.0,317340.41
185750.0,173322.55
230000.0,224678.75
89471.0,121193.0
260000.0,238906.17
189000.0,177034.21
108000.0,131666.61
124500.0,116880.5
