Red1,Red2,Red3,Red4,Red5,Red6,Blue
2,6,16,21,26,28,5
1,5,8,23,27,31,3
8,11,17,21,23,32,16
1,14,18,20,21,30,11
6,8,9,23,24,27,8
1,4,15,19,26,28,8
5,13,16,18,26,28,15
1,3,11,22,23,27,11
7,10,14,15,16,17,7
11,13,16,17,20,26,9
4,5,11,17,20,21,4
1,6,19,20,25,26,15
1,4,13,17,21,33,13
13,15,17,25,28,29,10
9,13,16,18,22,29,14
9,14,19,23,31,32,2
5,8,11,12,31,32,7
11,14,17,21,28,29,13
7,8,10,13,14,28,3
1,10,16,20,22,33,8
8,12,20,23,25,29,9
1,8,19,23,25,28,14
13,19,21,23,25,32,15
2,12,19,22,23,29,16
5,12,13,16,30,33,16
7,14,18,22,24,33,15
8,15,18,22,23,31,13
3,7,8,15,19,30,3
1,10,19,20,27,31,16
2,9,12,22,23,29,12
4,19,21,25,29,33,4
5,15,16,19,23,29,1
3,8,18,21,23,24,16
7,13,14,17,18,32,11
5,8,11,23,26,33,16
4,22,25,26,30,33,16
1,6,10,16,27,30,6
6,11,16,19,29,31,3
13,15,17,25,26,32,9
9,23,24,26,28,31,1
9,11,15,16,21,29,14
10,19,25,27,28,32,7
1,5,12,20,25,30,8
2,4,15,21,25,28,7
1,8,10,23,24,29,10
10,12,13,15,22,24,1
7,9,15,17,19,24,1
11,14,17,19,24,32,2
7,15,20,23,26,29,7
4,6,12,18,29,33,14
4,9,14,15,25,29,11
1,2,10,22,26,29,10
1,3,15,17,22,29,12
1,3,9,11,17,30,12
2,4,15,16,29,31,8
7,8,15,25,27,30,13
1,11,15,25,30,32,10
9,12,13,25,27,32,15
7,8,20,23,29,30,16
7,11,14,19,30,32,9
4,11,27,29,30,31,16
12,16,24,31,32,33,12
4,9,13,19,21,22,16
2,4,6,23,29,32,15
10,14,17,24,27,29,4
7,8,14,19,30,33,5
2,11,20,22,26,32,10
3,4,10,13,26,31,11
1,2,7,22,30,31,8
4,12,28,29,32,33,2
4,16,19,25,28,33,7
1,9,12,15,23,28,13
2,5,15,18,26,29,12
1,10,19,24,25,32,5
6,8,17,20,22,27,11
2,8,17,21,26,33,12
3,14,18,23,27,29,8
6,10,22,27,32,33,15
1,15,20,21,26,27,9
6,13,18,19,21,25,1
5,11,12,15,27,31,6
2,4,17,25,27,29,15
8,17,25,28,29,32,3
7,8,11,12,15,27,15
5,7,12,19,21,27,13
5,16,18,22,27,32,15
8,9,12,16,25,28,14
1,3,4,14,28,32,10
4,13,22,26,29,32,8
3,13,17,19,20,21,3
2,14,17,21,25,32,6
3,11,13,22,25,29,5
3,10,17,24,27,28,9
1,6,13,30,31,32,15
4,6,26,28,31,32,4
10,12,13,20,31,33,4
1,2,6,13,21,33,11
2,9,13,14,29,31,3
8,17,19,24,32,33,12
14,15,26,27,31,32,13
10,17,18,21,24,29,3
10,14,15,24,25,27,9
4,6,17,18,24,33,16
1,12,19,20,24,33,2
5,16,18,23,29,31,9
11,14,15,17,21,29,1
3,5,10,15,24,29,14
5,15,17,30,32,33,6
2,14,23,27,31,32,2
2,9,12,15,17,21,14
3,10,19,22,23,24,6
9,10,13,14,15,22,2
6,8,11,14,22,28,14
12,13,15,16,22,33,13
5,7,25,26,31,33,13
3,5,6,16,18,22,15
3,5,12,24,25,27,3
7,10,11,24,25,31,1
1,4,6,21,30,32,7
3,12,17,22,28,33,11
4,6,9,12,26,30,8
2,3,8,10,14,26,7
6,12,22,23,29,30,16
2,8,9,10,19,26,13
2,3,20,23,24,28,1
1,3,8,12,16,22,9
5,9,13,14,24,32,11
2,3,10,24,25,28,9
10,13,17,19,20,32,1
1,6,8,10,20,29,5
5,8,9,18,22,33,14
9,14,16,24,30,33,4
5,17,18,23,30,32,4
16,17,18,28,30,31,6
7,12,13,17,24,32,1
2,5,8,18,19,20,16
5,9,11,17,20,30,15
5,9,10,20,22,30,12
2,3,6,14,22,27,13
5,8,16,19,26,33,9
2,14,24,25,28,32,9
4,8,18,21,27,30,13
6,16,26,30,32,33,7
12,13,20,24,31,32,9
11,14,17,18,31,32,16
3,9,10,19,22,26,2
1,3,4,16,27,31,10
8,18,24,30,32,33,9
9,12,15,19,26,29,10
4,5,8,9,26,29,7
11,12,13,16,23,33,12
2,4,8,12,29,32,5
8,17,20,23,25,27,15
4,8,9,10,21,29,15
3,14,18,26,32,33,7
5,6,7,29,30,31,3
3,5,9,16,22,29,1
11,12,16,18,27,30,6
7,16,21,24,25,26,2
2,13,15,18,23,24,3
8,13,16,23,24,27,1
9,10,13,21,28,29,2
2,3,14,22,29,31,16
10,14,20,24,28,33,13
2,5,12,13,25,27,13
12,15,20,28,30,32,6
3,14,18,21,27,30,14
2,4,9,15,16,24,11
1,3,5,9,11,17,14
3,9,11,13,27,33,3
3,13,15,19,26,30,2
7,8,16,19,22,24,9
4,9,15,16,19,28,10
3,6,12,17,21,32,10
10,15,23,27,29,32,12
9,10,11,25,26,31,7
1,4,16,22,24,30,6
6,8,14,15,28,30,3
6,7,9,17,20,29,6
10,20,22,30,31,33,6
5,14,16,21,28,29,1
10,11,14,17,26,32,13
1,6,7,8,23,31,5
8,16,19,20,22,27,9
5,8,13,21,29,30,7
5,7,12,22,24,27,16
8,9,10,15,24,32,14
6,8,10,22,29,31,5
4,6,8,22,31,32,16
6,10,12,19,26,31,16
10,11,14,19,25,28,5
1,4,5,6,18,24,11
5,7,10,23,28,33,12
2,10,18,22,28,32,15
9,12,15,16,29,33,15
14,15,19,20,24,29,14
6,7,13,15,28,29,11
2,3,4,14,18,20,16
3,4,7,13,14,20,4
1,4,5,8,15,19,8
16,18,20,23,24,33,5
6,9,12,21,30,31,1
19,22,24,25,28,30,2
1,7,13,20,22,31,9
8,12,16,19,23,25,10
1,5,6,9,10,13,8
7,10,11,14,20,25,10
11,16,25,26,27,33,14
1,2,5,21,23,25,4
1,2,3,16,19,21,4
4,6,7,8,20,28,1
6,16,22,27,31,32,15
1,6,10,12,13,21,1
1,2,14,22,25,26,5
5,7,19,23,29,31,12
7,8,18,28,30,31,10
8,10,25,26,27,29,16
2,5,14,15,22,29,13
14,18,19,24,28,32,6
6,10,15,27,29,32,16
8,10,11,19,25,30,13
1,2,7,16,29,30,8
7,8,10,12,24,30,9
1,5,10,13,31,32,9
5,12,15,18,19,31,2
1,9,16,24,28,32,12
2,5,9,17,21,22,7
9,11,15,21,22,27,16
1,3,4,7,17,27,5
11,12,16,25,31,33,15
2,3,15,21,27,29,5
2,4,12,13,14,23,15
7,13,14,15,22,28,16
5,6,9,13,22,29,9
13,16,25,27,30,33,2
5,18,20,22,24,30,9
1,2,6,16,23,24,6
7,13,18,21,28,32,13
3,16,19,24,27,28,13
1,4,16,19,24,33,13
11,16,22,23,27,33,8
2,11,18,23,28,29,7
2,6,16,23,24,28,12
9,22,26,28,29,31,15
4,5,10,14,28,32,3
1,6,7,15,22,32,10
7,11,17,19,24,25,10
6,11,13,17,24,29,6
4,9,23,26,27,29,13
1,7,14,15,25,26,16
5,11,12,17,25,29,4
4,7,20,21,22,30,5
6,7,8,14,18,27,2
1,2,4,22,27,31,16
3,5,10,23,25,31,1
4,5,18,22,24,29,13
2,10,23,24,25,31,4
8,11,20,24,27,32,4
1,4,7,9,11,28,15
4,14,19,21,22,28,16
8,17,24,27,28,30,2
9,19,22,30,31,32,8
1,3,11,16,19,30,11
11,12,15,16,29,33,8
3,4,6,25,28,31,16
9,21,24,25,26,32,12
1,12,18,24,28,31,7
5,7,11,18,20,27,4
6,7,12,17,21,27,8
6,10,23,26,31,33,15
4,8,16,21,23,28,3
1,6,26,28,29,31,10
10,11,12,22,31,32,11
3,6,20,21,24,26,11
7,9,16,18,27,31,9
2,4,8,9,13,19,15
6,15,16,18,23,30,1
8,9,15,23,24,29,7
4,11,25,26,28,29,6
1,6,12,20,23,33,6
1,4,7,16,25,32,6
3,6,17,22,24,25,3
7,8,19,23,31,32,14
1,23,25,26,29,31,4
12,19,27,28,29,32,7
8,9,16,18,24,27,15
14,17,20,22,23,27,15
9,18,19,22,24,28,5
3,12,19,30,31,33,10
2,7,10,19,20,22,5
3,4,5,20,25,27,14
1,16,18,19,23,31,7
3,6,10,14,24,27,6
2,3,12,16,24,30,6
1,12,14,18,24,27,10
3,4,12,18,29,32,6
1,2,6,25,32,33,3
3,16,17,20,27,29,1
3,12,17,23,24,30,6
9,14,19,25,26,32,16
1,9,16,20,21,31,13
3,8,17,19,21,29,12
1,5,11,15,20,33,11
1,14,20,21,27,31,1
7,14,17,20,24,32,5
8,11,19,22,27,29,2
8,21,25,26,27,30,16
20,22,23,26,31,32,9
1,2,8,22,26,32,14
2,6,11,12,18,27,16
2,7,8,17,19,30,6
4,5,8,9,22,26,4
5,20,21,25,27,31,16
4,6,13,18,29,31,3
2,5,8,31,32,33,2
2,4,5,9,19,23,4
7,12,15,21,32,33,11
3,5,8,15,18,33,9
9,12,15,26,29,30,4
1,7,8,13,17,30,8
5,6,9,18,22,32,9
2,4,8,18,27,31,7
3,11,14,21,22,31,12
4,11,22,24,27,31,8
2,4,17,26,27,31,4
8,12,20,24,28,33,12
1,7,12,14,27,29,10
1,2,8,13,24,26,10
2,14,15,18,20,27,7
9,10,14,15,16,32,3
10,17,22,25,27,30,5
4,8,10,13,21,28,16
7,10,15,19,21,25,10
2,11,16,20,29,33,13
6,7,11,20,24,25,10
2,7,15,16,27,30,1
2,11,20,27,29,31,12
5,10,17,21,26,28,8
3,5,9,15,24,32,7
9,10,20,23,25,29,16
6,19,22,28,31,32,12
1,3,10,12,27,28,5
10,19,22,24,30,33,1
8,15,21,22,28,29,5
5,14,18,29,31,33,10
2,4,10,13,17,30,3
4,7,10,13,19,32,12
5,8,9,14,27,33,11
5,6,11,20,22,27,16
5,6,13,19,21,33,12
10,14,17,19,27,33,7
5,7,14,26,28,33,1
1,8,14,22,24,32,2
3,4,7,15,16,22,13
2,3,7,11,19,31,8
2,7,13,16,29,30,16
1,3,6,15,24,28,5
5,6,8,20,27,32,6
6,7,9,10,30,32,4
7,16,25,27,28,32,8
5,7,18,22,26,33,3
7,11,19,25,27,32,3
8,9,13,14,22,30,7
3,6,14,21,26,31,16
2,8,13,17,21,24,5
4,6,14,18,27,33,3
1,6,13,14,18,30,6
5,7,12,15,23,32,9
2,12,15,16,21,25,6
7,9,10,11,25,27,13
2,10,17,21,24,31,16
6,9,13,20,29,33,1
4,14,17,28,29,33,2
2,6,10,18,24,33,14
12,16,17,26,32,33,7
5,7,14,24,27,33,6
13,17,22,24,27,32,5
9,11,21,24,25,31,3
18,19,23,24,29,30,13
2,11,14,23,27,33,3
1,8,19,21,22,27,2
2,11,15,19,24,29,14
2,3,14,16,29,33,13
2,6,12,18,29,32,3
4,16,19,28,31,32,14
13,14,16,23,28,30,15
6,16,17,22,30,31,4
1,5,7,13,17,29,2
3,4,5,7,13,19,3
10,18,20,21,28,33,13
10,12,13,24,25,33,9
3,15,22,28,30,32,4
3,5,9,12,16,25,12
2,4,13,15,27,32,6
12,14,15,22,27,32,9
2,11,15,16,22,30,8
2,6,15,17,20,31,16
6,11,15,16,21,25,9
6,11,19,20,28,33,3
22,23,25,30,31,32,9
2,9,17,20,23,25,1
15,17,22,23,28,32,12
8,18,25,27,28,33,1
1,3,10,25,30,33,5
11,14,16,18,20,22,5
10,15,17,18,19,33,2
9,15,22,23,30,33,3
11,15,22,27,28,31,3
11,15,19,23,26,33,3
1,8,14,15,17,23,2
11,17,18,27,29,30,6
1,7,15,20,23,31,16
1,2,18,25,32,33,4
3,8,21,22,23,30,13
2,3,16,20,25,30,1
5,16,18,19,20,25,15
1,4,21,27,29,31,16
8,17,18,23,24,31,11
5,11,14,16,19,21,11
5,10,16,23,24,25,8
8,10,12,18,21,28,2
14,16,19,20,22,31,9
10,13,15,16,19,29,5
2,3,7,17,27,28,9
3,7,9,11,16,25,10
6,21,22,23,24,30,11
5,9,11,12,16,19,12
12,13,15,24,25,31,14
1,3,8,19,21,32,7
8,11,13,17,21,28,6
5,13,15,18,28,29,8
11,12,15,16,18,25,13
5,17,22,25,27,33,3
14,17,19,21,23,29,2
8,15,21,23,25,30,3
13,20,21,24,28,33,16
7,20,21,22,23,26,5
9,17,23,25,32,33,2
1,11,17,18,22,30,7
5,12,15,16,23,33,13
10,16,22,24,30,33,3
2,5,10,13,22,30,9
3,5,8,11,23,27,2
1,3,10,13,18,33,2
4,16,21,24,29,31,2
4,10,20,23,24,27,2
8,15,25,27,28,33,9
3,5,18,21,28,30,9
9,14,15,21,23,27,1
8,11,16,21,22,23,4
5,7,17,24,29,30,3
3,8,13,15,19,21,12
1,2,6,15,21,33,4
4,15,16,17,23,27,9
14,15,21,24,29,32,14
3,12,19,23,26,27,11
4,5,6,11,12,29,4
1,4,15,18,19,24,9
3,6,9,15,17,30,1
1,2,8,14,23,32,5
4,7,11,13,15,19,13
10,12,17,24,30,32,16
7,12,15,17,22,26,5
9,14,16,20,28,29,5
2,6,17,20,22,24,5
5,15,16,21,23,33,5
4,6,11,22,26,28,8
3,10,11,23,31,33,3
2,15,18,27,28,29,13
5,7,13,17,21,23,12
1,2,3,12,21,24,6
5,7,8,9,12,22,14
4,5,13,23,26,33,12
7,10,12,15,25,32,8
1,7,14,18,25,32,15
1,6,9,13,15,19,11
7,14,18,19,26,32,9
13,25,27,30,31,33,13
5,14,16,21,24,28,14
2,4,8,11,13,27,16
15,22,26,28,32,33,1
12,13,22,23,27,29,4
12,18,23,29,30,33,5
4,7,10,11,20,27,16
5,9,13,16,23,26,13
5,9,10,12,23,29,6
4,5,9,18,19,25,7
3,5,15,18,27,32,13
7,9,14,25,30,31,16
6,7,10,13,22,29,15
6,8,13,18,24,33,15
6,8,16,25,27,31,16
12,15,17,26,28,29,2
6,9,22,23,24,25,5
7,10,20,21,24,27,16
11,17,24,31,32,33,7
4,13,16,19,20,24,14
1,9,11,12,29,33,15
10,22,23,27,28,30,15
3,8,13,20,23,29,6
7,8,13,14,22,25,6
1,3,4,7,22,24,5
2,7,8,15,23,31,4
7,9,11,15,18,20,16
2,3,6,10,18,33,5
3,4,18,24,28,33,6
5,6,19,26,31,33,7
3,4,6,19,21,28,12
4,23,29,31,32,33,5
5,9,11,14,30,33,8
2,14,15,22,26,33,12
5,9,10,17,23,25,4
1,3,8,11,12,18,7
2,8,13,20,23,25,12
6,7,11,14,16,18,12
1,4,11,17,26,28,5
8,9,10,14,19,26,3
1,2,5,8,16,27,8
5,8,11,20,25,32,16
4,6,11,21,30,31,3
1,6,7,11,21,31,15
8,15,17,22,23,28,3
1,4,6,13,15,18,8
2,4,6,19,20,28,14
7,9,12,17,21,29,10
1,10,12,13,28,29,16
7,11,14,20,31,33,11
2,4,11,16,25,28,1
1,10,14,21,28,29,3
17,21,23,24,32,33,3
3,17,18,21,32,33,4
1,8,10,17,21,25,5
8,9,12,16,21,29,3
3,4,24,25,26,27,15
2,3,4,13,17,29,2
2,4,7,19,22,32,10
14,21,24,25,28,33,6
2,7,12,18,20,31,3
7,18,22,26,27,29,14
3,10,19,21,26,30,4
10,14,16,18,24,27,12
3,4,14,21,24,33,14
1,6,10,16,20,31,11
4,8,16,18,26,29,14
10,13,16,28,31,33,9
3,8,26,27,30,32,11
5,8,15,19,22,27,4
1,4,10,12,29,31,15
8,9,11,18,19,28,13
1,5,14,16,19,26,6
5,9,13,21,24,33,9
3,5,9,25,27,32,7
2,5,19,20,29,33,10
3,7,14,21,22,32,6
11,13,16,25,26,30,6
13,14,17,20,21,25,11
3,7,10,12,15,26,15
3,11,19,23,26,28,15
6,14,16,17,20,21,7
5,6,11,17,30,33,6
1,8,10,21,32,33,13
8,12,22,23,32,33,5
5,7,19,27,28,29,8
11,13,19,26,27,28,12
3,10,17,20,23,32,14
2,6,9,16,20,32,13
3,10,12,16,25,30,4
4,14,18,20,24,27,11
2,3,9,22,27,32,6
1,4,12,18,32,33,9
2,13,14,18,26,27,16
12,15,18,21,27,30,14
5,7,21,22,26,31,2
1,8,21,27,28,30,11
11,12,17,24,27,31,13
5,7,15,20,25,31,14
2,4,8,13,17,28,13
1,3,4,12,16,17,13
2,5,6,8,26,30,7
7,12,21,22,26,32,3
13,17,19,28,29,30,10
1,2,5,12,14,25,9
2,3,8,14,19,26,2
1,6,13,15,24,31,15
5,9,12,17,21,28,9
3,9,10,17,21,28,15
3,17,18,19,32,33,10
1,6,13,15,17,22,3
4,6,12,17,20,23,8
5,10,16,19,21,25,16
6,10,11,17,23,27,15
9,16,23,24,25,27,16
2,3,9,12,26,32,3
6,10,11,13,29,32,7
9,18,24,27,30,31,7
3,6,20,23,32,33,6
3,13,17,28,30,33,2
11,18,19,24,32,33,13
1,10,12,17,21,27,8
11,13,15,20,27,33,4
3,10,11,13,28,30,9
5,16,18,20,22,33,12
1,2,8,19,31,33,16
3,4,6,10,12,18,16
6,13,17,28,31,32,15
2,12,17,24,25,32,6
6,15,23,24,26,29,5
1,8,10,11,21,24,16
3,5,6,18,22,29,12
1,3,15,26,28,32,14
4,7,12,20,31,33,7
12,15,19,20,30,31,14
20,21,23,24,25,26,16
1,3,9,12,15,30,8
1,2,8,25,27,30,9
1,6,7,12,17,22,10
24,26,27,29,30,31,11
6,9,11,18,20,29,6
13,15,16,17,31,33,8
4,8,19,20,21,29,10
2,7,15,16,22,26,4
5,11,13,14,30,32,10
1,10,24,25,29,33,8
3,15,17,26,28,32,10
8,14,22,26,27,31,16
8,12,14,16,29,30,8
10,15,17,25,32,33,2
11,15,17,23,26,28,12
1,6,7,10,26,28,11
2,9,16,22,30,33,15
16,17,18,20,28,31,3
1,2,6,8,17,27,1
3,4,5,14,15,20,16
9,11,18,23,28,30,9
1,7,13,20,23,31,3
3,5,14,21,24,32,12
2,4,13,17,25,30,7
4,8,16,22,28,29,9
3,11,14,19,28,31,2
5,15,16,18,20,22,7
1,5,14,16,18,31,12
2,4,21,27,29,31,5
3,5,6,7,20,27,3
5,12,18,22,32,33,1
4,11,15,16,20,21,11
6,11,12,14,22,29,15
8,10,12,13,22,28,6
3,4,15,18,21,30,15
2,6,11,15,23,30,16
9,11,15,19,21,29,14
10,18,22,23,27,30,4
1,4,15,16,22,23,14
3,4,5,7,19,23,2
3,16,18,26,30,31,10
7,10,12,16,21,27,15
2,4,6,14,25,31,12
2,6,15,19,22,24,9
1,8,22,25,27,29,15
2,4,10,19,26,31,4
2,3,12,20,23,31,7
5,7,18,19,25,33,6
2,12,13,28,30,32,16
7,14,21,25,26,27,11
1,5,11,13,23,28,12
9,15,17,18,23,26,10
5,18,19,23,26,30,3
6,10,14,23,24,29,6
3,14,24,29,30,31,9
14,15,18,23,25,29,15
2,3,8,10,13,23,10
4,5,6,10,23,26,5
10,22,23,27,32,33,1
2,13,14,21,23,31,16
6,8,15,26,28,30,13
5,10,20,31,32,33,12
9,12,17,22,28,29,14
5,10,17,19,20,25,9
3,14,19,20,24,27,6
2,3,7,13,14,17,5
5,6,9,17,25,32,13
2,4,10,14,19,32,15
14,17,18,20,32,33,7
9,11,15,18,24,26,15
