,Prompt,Metrics,Original Prompt,Qualified (Y/N),Modified Prompt (If not qualified),data source type,
10,"Please write a Python code to predict the success rate of applying for overseas university study qualifications using data mining techniques. You need to use a dataset of master's program-related indicators for foreign universities downloaded from Kaggle, named ""data.csv"", to complete the following tasks:

1. **Data Analysis**: Conduct exploratory data analysis (EDA) on the dataset to understand the distribution and characteristics of the data.  
   **Output Format**: CSV  
   **Output Filename**: ""eda_results.csv""  

2. **Feature Engineering**: Based on the results of the data analysis, perform feature selection and preprocessing.  
   **Output Format**: CSV  
   **Output Filename**: ""processed_features.csv""  

3. **Model Building**: Build a machine learning model to predict the success rate of study abroad applications.  
   **Output Format**: Python Pickle (.pkl)  
   **Output Filename**: ""success_rate_model.pkl""  

4. **Model Evaluation**: Evaluate the performance of the model and output the prediction results.  
   **Output Format**: CSV  
   **Output Filename**: ""model_evaluation_results.csv""  

Please provide the complete code implementation and ensure that the code structure is clear and the comments are comprehensive for understanding and evaluation.","Feature integrity, Feature importance,Evaluation metrics(acc,recall,f1……),data quality","Please write a Python code to predict the success rate of applying for overseas university study qualifications using data mining techniques. You need to use a dataset of master's program related indicators for foreign universities downloaded from Kaggle to complete the following tasks:
 1. Data Analysis: Conduct exploratory data analysis on the dataset to understand the distribution and characteristics of the data.
 2. Feature Engineering: Based on the results of the data analysis, perform feature selection and preprocessing.
 3. Model Building: Build a machine learning model to predict the success rate of study abroad applications.
 4. Model Evaluation: Evaluate the performance of the model and output the prediction results.
Please provide the complete code implementation and ensure that the code structure is clear and the comments are complete for understanding and evaluation.",N,"""Please write a Python code to predict the success rate of applying for overseas university study qualifications using data mining techniques. You need to use a dataset of master's program-related indicators for foreign universities, named """"data.csv"""", to complete the following tasks:

1. **Data Analysis**: Conduct exploratory data analysis (EDA) on the dataset to understand the distribution and characteristics of the data.  
**Output Filename**: """"eda_results.csv""""  

2. **Feature Engineering**: Based on the results of the data analysis, perform feature selection and preprocessing.  
**Output Filename**: """"processed_features.csv""""  

3. **Model Building**: Build a machine learning model to predict the success rate of study abroad applications.  
**Output Filename**: """"success_rate_model.pkl""""  

4. **Model Evaluation**: Evaluate the performance of the model and output the prediction results.  
**Output Filename**: """"model_evaluation_results.csv""""  

Please provide the complete code implementation and ensure that the code structure is clear and the comments are comprehensive for understanding and evaluation.""",2=open source data,
11,"Please use the provided dataset (Admission_Predict_Ver1.1.csv) to complete the following tasks:

1. **Data Preprocessing**: Analyze and preprocess the dataset, including handling missing values and outliers, as well as conducting feature scaling and feature engineering.  
   **Input**: Admission_Predict_Ver1.1.csv  
   **Output**: processed_data.csv  

2. **Model Construction**: Construct three different machine learning models—linear regression, Naive Bayes, and KNN—to predict the success rate of master's admission in foreign universities.  
   **Input**: processed_data.csv  
   **Output**: models_summary.txt  

3. **Model Optimization**: Optimize each model, including parameter tuning and feature selection.  
   **Input**: models_summary.txt  
   **Output**: optimized_models.txt  

4. **Model Prediction**: Use the trained models to predict new samples.  
   **Input**: optimized_models.txt, new_samples.csv  
   **Output**: predictions.csv  

5. **Performance Evaluation**: Evaluate the performance of the models using appropriate metrics.  
   **Input**: predictions.csv  
   **Output**: performance_report.pdf  

6. **Model Summary**: Summarize the strengths and weaknesses of each model and propose suggestions for improvement.  
   **Input**: performance_report.pdf  
   **Output**: model_summary.txt  

Please provide the following for understanding and evaluation:  
- Complete code implementation, ensuring clear code structure and comprehensive comments.  
- Experiment report, including dataset analysis, model construction and optimization, prediction results, model performance analysis, and summary.  
The final experiment report should be saved as `experiment_report.pdf`.","data quality, Feature integrity, Outliers,Evaluation metrics(acc,recall,f1……)feature importance","Please use the provided dataset (Admission_Predict_Ver1.1) to complete the following tasks:
 1. Data Preprocessing: Analyze and preprocess the dataset, including handling missing values and outliers, as well as conducting feature scaling and feature engineering.
 2. Model Construction: Construct three different machine learning models—linear regression, Naive Bayes, and KNN—to predict the success rate of master's admission in foreign universities.
 3. Model Optimization: Optimize each model, including parameter tuning and feature selection.
 4. Model Prediction: Use the trained models to predict new samples.
 5. Performance Evaluation: Evaluate the performance of the models using appropriate metrics.
 6. Model Summary: Summarize the strengths and weaknesses of each model and propose suggestions for improvement.
Please provide the following for understanding and evaluation:
 - Complete code implementation, ensuring clear code structure and comprehensive comments.
 - Experiment report, including dataset analysis, model construction and optimization, prediction results, model performance analysis, and summary.",N,"""Please use the provided dataset (Admission_Predict_Ver1.1.csv) to complete the following tasks:

1. **Data Preprocessing**: Analyze and preprocess the dataset, including handling missing values and outliers, as well as conducting feature scaling and feature engineering.  
**Input**: Admission_Predict_Ver1.1.csv  
**Output**: processed_data.csv  

2. **Model Construction**: Construct three different machine learning models—linear regression, Naive Bayes, and KNN—to predict the success rate of master's admission in foreign universities.  
**Input**: processed_data.csv  
**Output**: models_summary.txt  

3. **Model Optimization**: Optimize each model, including parameter tuning and feature selection.  
**Input**: models_summary.txt  
**Output**: optimized_models.txt  

4. **Model Prediction**: Use the trained models to predict new samples.  
**Input**: optimized_models.txt, new_samples.csv  
**Output**: predictions.csv  

5. **Performance Evaluation**: Evaluate the performance of the models using appropriate metrics,Summarize the strengths and weaknesses of each model and propose suggestions for improvement.  
**Input**: predictions.csv  
**Output**: performance_report.pdf  

Please provide the following for understanding and evaluation:  
- Complete code implementation, ensuring clear code structure and comprehensive comments.  
- Experiment report, including dataset analysis, model construction and optimization, prediction results, model performance analysis, and summary.  
The final experiment report should be saved as `experiment_report.pdf`.""",2=open source data,
12,"Please implement a three-layer Convolutional Neural Network (CNN) model using Python with the following structural requirements, and adhere to the specified input and output requirements:

1. The first layer is a convolutional layer with bias terms, containing 32 filters of size 5x5, and using zero-padding of 2 pixels.
   - Input: `data.csv` (contains training data in a format suitable for CNN)
   - Output: `layer1_output.csv` (feature maps after the first layer)

2. The second layer is a ReLU activation function.
   - Input: `layer1_output.csv`
   - Output: `layer2_output.csv` (activated feature maps after ReLU)

3. The third layer is a convolutional layer with bias terms, containing 16 filters of size 3x3, and using zero-padding of 1 pixel.
   - Input: `layer2_output.csv`
   - Output: `layer3_output.csv` (feature maps after the second convolutional layer)

4. The fourth layer is a ReLU activation function.
   - Input: `layer3_output.csv`
   - Output: `layer4_output.csv` (activated feature maps after the second ReLU)

5. The fifth layer is a fully connected layer to compute scores for 10 classes.
   - Input: `layer4_output.csv`
   - Output: `scores_output.csv` (classification scores for the 10 classes)

Please provide the complete code implementation clearly structured with comprehensive comments for understanding and evaluation.",feature integrity,"Please implement a three-layer Convolutional Neural Network (CNN) model using Python, with the following structural requirements:
 1. The first layer is a convolutional layer with bias terms, containing 32 filters of size 5x5, and using zero-padding of 2 pixels.
 2. The second layer is a ReLU activation function.
 3. The third layer is a convolutional layer with bias terms, containing 16 filters of size 3x3, and using zero-padding of 1 pixel.
 4. The fourth layer is a ReLU activation function.
 5. The fifth layer is a fully connected layer to compute scores for 10 classes.
Please provide the complete code implementation and ensure that the code structure is clear with complete comments for understanding and evaluation.""",N,"""Please implement a three-layer Convolutional Neural Network (CNN) model using Python with the following structural requirements, and adhere to the specified input and output requirements:

1. The first layer is a convolutional layer with bias terms, containing 32 filters of size 5x5, and using zero-padding of 2 pixels.
- Input: `X.npy` and `y.npy`

2. The second layer is a ReLU activation function.

3. The third layer is a convolutional layer with bias terms, containing 16 filters of size 3x3, and using zero-padding of 1 pixel.

4. The fourth layer is a ReLU activation function.

5. The fifth layer is a fully connected layer to compute scores for 10 classes.
- Output: `scores_output.csv` (classification scores for the 10 classes)

Please provide the complete code implementation clearly structured with comprehensive comments for understanding and evaluation.""",3=human written data,
13,"Implement a linear regression model y = wx + b, where w = 0.8 and b = 0.7. You need to:

1. Build the model using Tensorflow. 
   - Input: ""data.csv"" (the training dataset)
   - Output: ""model.py"" (complete code implementation with clear structure and comments)

2. Train the model for 500 steps.
   - Input: ""model.py"" (the model code)
   - Output: ""training_log.csv"" (log of the training progress, including loss values at each step)

3. Observe the data flow graph of the model using Tensorboard. 
   - Input: ""model.py"" (the model file)
   - Output: ""tensorboard_screenshot.png"" (a screenshot of the data flow graph showcasing the model's structure and training process)

Please ensure all outputs reflect the quality of completion for each subtask, facilitating further evaluation.",visualization,"Implement a linear regression model y = wx + b, where w = 0.8 and b = 0.7. You need to:
 1. Build the model using Tensorflow.
 2. Train the model for 500 steps.
 3. Observe the data flow graph of the model using Tensorboard.
Please provide the following for understanding and evaluation:
 - Complete code implementation with clear structure and complete comments.
 - A screenshot of the data flow graph from Tensorboard, showcasing the model's structure and training process.",N,"Implement a linear regression model y = wx + b, where w = 0.8 and b = 0.7. You need to:

1. Build the model using Tensorflow. 
   - Input: ""X.npy"" and ""y.npy"" (the training dataset)
   - Output: ""model.py"" (complete code implementation with clear structure and comments)

2. Train the model for 500 steps.
   - Input: ""model.py"" (the model code)
   - Output: ""training_log.csv"" (log of the training progress, including loss values at each step)

3. Observe the data flow graph of the model using Tensorboard. 
   - Input: ""model.py"" (the model file)
   - Output: ""tensorboard_screenshot.png"" (a screenshot of the data flow graph showcasing the model's structure and training process)

Please ensure all outputs reflect the quality of completion for each subtask, facilitating further evaluation.",3=human written data,
14,"Methods for manipulating multi-dimensional arrays and matrices using the NumPy library. Please complete the following tasks with specified input and output requirements:

1. **Generate Arrays:**
   - Input: None
   - Output: A CSV file named 'array_c.csv' containing the 5-element arithmetic sequence between 0-10, and a CSV file named 'matrix_d.csv' containing a randomly generated 5x4 matrix with elements between 1-100.

2. **Adjust Shape & Extract Elements:**
   - Input: 'matrix_d.csv'
   - Output: A CSV file named 'matrix_a_first_row_col.csv' containing the first row and first column elements of the merged 5x5 matrix 'a'.

3. **Find Index Positions:**
   - Input: 'matrix_a_first_row_col.csv'
   - Output: A CSV file named 'indices_greater_than_50.csv' containing the index positions of numbers greater than 50 in matrix 'a' and the corresponding elements according to those indices.

4. **Calculate Square Root:**
   - Input: 'matrix_a_first_row_col.csv'
   - Output: A CSV file named 'matrix_a_sqrt.csv' with the matrix 'a' elements displayed in floating-point representation with 3 decimal places and their square root calculated.

5. **Statistics Calculation:**
   - Input: 'matrix_a_sqrt.csv'
   - Output: A CSV file named 'row_0_statistics.csv' containing the mean, variance, and standard deviation of the 0th row in matrix 'a'.

6. **Normalization:**
   - Input: 'matrix_a_sqrt.csv'
   - Output: A CSV file named 'normalized_matrix_a.csv' containing the normalized result of matrix 'a'.

**Requirements for the Experimental Report:**
1. Include the source program in the report.
2. Display the author's full name in the appropriate section and provide a screenshot of the running results.
3. Implement exception handling mechanisms to manage possible user input errors.
4. Add comments to the program to explain each operation and its results.

Please provide a complete experimental report that includes the source code, running results, and necessary comments.","mean,std,data consistency,visualization","Methods for manipulating multi-dimensional arrays and matrices using the numpy library. Please complete the following steps:
 1. Generate an array of a 5-element arithmetic sequence between 0-10 named 'c', and randomly generate a 5*4 matrix 'd' with elements being random numbers between 1-100.
 2. Adjust the shape of matrix 'd' so that it can be merged with array 'c' into a 5*5 matrix 'a'. Output the first row and first column elements of matrix 'a'.
 3. Find the index positions of numbers greater than 50 in matrix 'a' and output the corresponding elements according to the index.
 4. Set the floating-point representation precision of the matrix to 3 decimal places and calculate the square root of all elements in matrix 'a'.
 5. Calculate the mean, variance, and standard deviation of the 0th row in matrix 'a'.
 6. Normalize matrix 'a' and output the result after normalization.
Requirements for the experimental report:
 1. Include the source program in the experimental report.
 2. Display the author's full name in the appropriate place and provide a screenshot of the running results.
 3. Use exception handling mechanisms to deal with possible user input errors.
 4. Add comments to the program to explain each step of the operation and results.
Please provide a complete experimental report, including the source code, running results, and necessary comments.",N,"""Methods for manipulating multi-dimensional arrays and matrices using the NumPy library. Please complete the following tasks with specified input and output requirements:

1. **Generate Arrays:** Output a CSV file named 'array_c.csv' containing the 5-element arithmetic sequence between 0-10, and a CSV file named 'matrix_d.csv' containing a randomly generated 5x4 matrix with elements between 1-100.

2. **Adjust Shape & Extract Elements:**
- Input: 'matrix_d.csv'
- Output: A CSV file named 'matrix_a_first_row_col.csv' containing the first row and first column elements of the merged 5x5 matrix 'a'.

3. **Find Index Positions:**
- Input: 'matrix_a_first_row_col.csv'
- Output: A CSV file named 'indices_greater_than_50.csv' containing the index positions of numbers greater than 50 in matrix 'a' and the corresponding elements according to those indices.

4. **Calculate Square Root:**
- Input: 'matrix_a_first_row_col.csv'
- Output: A CSV file named 'matrix_a_sqrt.csv' with the matrix 'a' elements displayed in floating-point representation with 3 decimal places and their square root calculated.

5. **Statistics Calculation:**
- Input: 'matrix_a_sqrt.csv'
- Output: A CSV file named 'row_0_statistics.csv' containing the mean, variance, and standard deviation of the 0th row in matrix 'a'.

6. **Normalization:**
- Input: 'matrix_a_sqrt.csv'
- Output: A CSV file named 'normalized_matrix_a.csv' containing the normalized result of matrix 'a'.


Please provide a complete experimental report that includes the source code, running results, and necessary comments.""",1=no dependency,
15,"Please use PyTorch to build a neural network model and complete the following tasks:

1. **Model definition**: Define a neural network structure using PyTorch's nn.Module class.  
   **Output**: Provide the complete PyTorch code in a file named ""model_definition.py"".  

2. **Model training**: Train the network model with your training dataset (input: ""data.csv""). Choose an appropriate optimizer (such as SGD, Adam, etc.) to update the network parameters.  
   **Output**: Save the trained model weights to a file named ""trained_model.pth"".  

3. **Calculate L1 norm**: After training, calculate the L1 norm of each weight in the network. This is the sum of the absolute values of the elements in the weight vector.  
   **Output**: Save the L1 norms in a CSV file named ""l1_norms.csv"".  

4. **Weight pruning**:  
   1. Set a threshold or pruning ratio to determine the weights that need to be pruned.  
   2. Sort the weights based on their L1 norms and select the weights with smaller L1 norms for pruning.  
   3. Set the selected weights to zero to achieve pruning of network connections.  
   **Output**: Save the pruned model weights in a file named ""pruned_model.pth"".

5. **Model fine-tuning**: Fine-tune the pruned model to recover or enhance model performance. You can continue training the pruned model with the optimizer used in previous training.  
   **Output**: Save the fine-tuned model weights to a file named ""fine_tuned_model.pth"".  

Please provide the following:
- Complete PyTorch code implementation, including model definition, training process, L1 norm calculation, weight pruning, and model fine-tuning, all integrated within ""model_definition.py"".
- Comments in the code should clearly explain the purpose and implementation of each step.","Feature Integrity,Feature Importance,L1范数","Please use PyTorch to build a neural network model and complete the following tasks:
 Model definition: Define a neural network structure using PyTorch's nn.Module class.
 Model training: Train the network model with your training dataset. Choose an appropriate optimizer (such as SGD, Adam, etc.) to update the network parameters.
 Calculate L1 norm: After training, calculate the L1 norm of each weight in the network, which is the sum of the absolute values of the elements in the weight vector.
 Weight pruning:
 1. Set a threshold or pruning ratio to determine the weights that need to be pruned.
 2. Sort the weights based on their L1 norms and select the weights with smaller L1 norms for pruning.
 3. Set the selected weights to zero to achieve pruning of network connections.
 Model fine-tuning: Fine-tune the pruned model to recover or enhance model performance. You can continue training the pruned model with the optimizer used in previous training.
Please provide the following:
 - Complete PyTorch code implementation, including model definition, training process, L1 norm calculation, weight pruning, and model fine-tuning.
 - Comments in the code should clearly explain the purpose and implementation of each step.",N,"""Please use PyTorch to build a neural network model and complete the following tasks:

1. **Model definition**: Define a neural network structure using PyTorch's nn.Module class.  
**Output**: Provide the complete PyTorch code in a file named """"model_definition.py"""".  

2. **Model training**: Train the network model with your training dataset (input: """"train.csv"" and ""test.csv""""). Choose an appropriate optimizer (such as SGD, Adam, etc.) to update the network parameters.  
**Output**: Save the trained model weights to a file named """"trained_model.pth"""".  

3. **Calculate L1 norm**: After training, calculate the L1 norm of each weight in the network. This is the sum of the absolute values of the elements in the weight vector.  
**Output**: Save the L1 norms in a CSV file named """"l1_norms.csv"""".  

4. **Weight pruning**:  
1. Set a threshold or pruning ratio to determine the weights that need to be pruned.  
2. Sort the weights based on their L1 norms and select the weights with smaller L1 norms for pruning.  
3. Set the selected weights to zero to achieve pruning of network connections.  
**Output**: Save the pruned model weights in a file named """"pruned_model.pth"""".

5. **Model fine-tuning**: Fine-tune the pruned model to recover or enhance model performance. You can continue training the pruned model with the optimizer used in previous training.  
**Output**: Save the fine-tuned model weights to a file named """"fine_tuned_model.pth"""".  

Please provide the following:
- Complete Python code implementation, including model definition, training process, L1 norm calculation, weight pruning, and model fine-tuning, all integrated within """"model_definition.py"""".
- Comments in the code should clearly explain the purpose and implementation of each step.""",3=human written data,
16,"Implement a function for the kmeans clustering algorithm that accepts the following parameters:
- Two lists: representing the x and y coordinates of the population, respectively (input: ""data.csv"").
- A list containing six floating-point numbers: representing the x and y coordinates of three points (two numbers per pair).

The tasks of the function are as follows:
1. Use these three points as the initial clustering centers to perform kmeans clustering on the population.
   - Output: Clustering results saved in ""clustering_results.csv"" with six lists (three clusters, each containing x and y coordinates).
   
2. Divide the clustering results into six lists, each storing the x and y coordinates of points in the three categories.
   - Output: Six lists saved in ""grouped_coordinates.csv"" in CSV format. Each list corresponds to one of the clusters.

3. Use data visualization techniques to plot a scatter plot, where points from different categories are represented with different shapes and colors.
   - Output: Scatter plot saved as ""scatter_plot.png"".

Please provide the following:
- The code for the function that implements the kmeans algorithm, ensuring it includes necessary comments to explain the algorithm steps.
- The code for plotting the scatter plot, including comments to elucidate the visualization process.","distance,visualization","Implement a function for the kmeans clustering algorithm that accepts the following parameters:
 - Two lists: representing the x and y coordinates of the population, respectively.
 - A list containing six floating-point numbers: representing the x and y coordinates of three points (two numbers per pair).
The tasks of the function are as follows:
 1. Use these three points as the initial clustering centers to perform kmeans clustering on the population.
 2. Divide the clustering results into six lists, each storing the x and y coordinates of points in the three categories.
 3. Use data visualization techniques to plot a scatter plot, where points from different categories are represented with different shapes and colors.
Please provide the following:
 - The code for the function that implements the kmeans algorithm.
 - The code for plotting the scatter plot.
 - Ensure that the code includes necessary comments to explain the algorithm steps and the visualization process.",Y,,3=human written data,
17,"Build a deep learning model that can accept barcode images as input and predict the number of bars and blanks (num) as well as the sequence of bar-to-blank ratio widths (widthSequence). Here are the specific requirements:

1. Input: Barcode images (input filename: ""barcode_images.zip""), the number of bars and blanks (num).
2. Output: The bar-to-blank ratio width sequence (widthSequence), to be regarded as continuous values for regression prediction (output filename: ""width_sequence.csv"").
3. Example of dataset label format: `<barcode> <num>13</num> <widthSequence>1:1:1:3:1:2:2:1:3:1:1:1:4</widthSequence> </barcode>`

Please complete the following tasks:

- Choose an appropriate deep learning model architecture.  
   **Output Format:** Text explanation (output filename: ""model_architecture.txt"").

- Explain in detail how to design the model to output the bar-to-blank ratio sequence.  
   **Output Format:** Text explanation (output filename: ""model_design_explanation.txt"").

- Provide the model code implemented using PyTorch.  
   **Output Format:** Python code (output filename: ""model_code.py"").","data quality,feature importance","Build a deep learning model that can accept barcode images as input and predict the number of bars and blanks (num) as well as the sequence of bar-to-blank ratio widths (widthSequence). Here are the specific requirements:
 1. Input: Barcode images, the number of bars and blanks (num).
 2. Output: The bar-to-blank ratio width sequence (widthSequence), to be regarded as continuous values for regression prediction.
 3. Example of dataset label format: <barcode> <num>13</num> <widthSequence>1:1:1:3:1:2:2:1:3:1:1:1:4</widthSequence> </barcode>
Please complete the following tasks:
 - Choose an appropriate deep learning model architecture.
 - Explain in detail how to design the model to output the bar-to-blank ratio sequence.
 - Provide the model code implemented using PyTorch.",Y,,4=not sure,需要条形码图片数目，舍弃该prompt
18,"Complete an image generation task using Generative Adversarial Networks (GAN) to produce realistic images. Here are the recommended steps to implement this task, along with input and output requirements:

1. **Prepare the dataset**: 
   - Input: Use ""data.csv"" which contains paths to images for preprocessing and data loading.
   - Output: Save the preprocessed dataset to ""preprocessed_data.csv"".

2. **Build the generator model**: 
   - Output: Export the generator model architecture to ""generator_model.json"".

3. **Build the discriminator model**: 
   - Output: Export the discriminator model architecture to ""discriminator_model.json"".

4. **Define the loss function**: 
   - Output: Save the chosen loss function details in ""loss_function.txt"".

5. **Train the model**: 
   - Output: Save the training progress and metrics in ""training_progress.csv"".

6. **Evaluate the model**: 
   - Output: Save evaluation metrics related to image quality and diversity to ""evaluation_metrics.csv"".

7. **Adjust and improve**: 
   - Output: Document adjustments and improvements made during tuning in ""model_improvements.txt"".

8. **Generate images**: 
   - Input: Use the trained generator model from the previous steps.
   - Output: Save generated images in ""generated_images.png"" (or multiple images as needed).

Please complete the following based on the steps above:
- Implement the Python code for the steps mentioned above.
- Ensure that the code includes necessary comments explaining the model design and training process.","data format,data quality,feature importance,Model performance
","Complete an image generation task using Generative Adversarial Networks (GAN) to produce realistic images. Here are the recommended steps to implement this task:
 1. Prepare the dataset: Select a specific type of image dataset (such as faces, animals, or natural scene images), and perform necessary preprocessing and data loading.
 2. Build the generator model: Design and implement a generator model that can produce realistic image samples. You can use Convolutional Neural Networks (CNN) or transpose convolution layers.
 3. Build the discriminator model: Design and implement a discriminator model that can distinguish between real images and generated fake images. CNNs can be used again for this purpose.
 4. Define the loss function: Choose appropriate loss functions for both the generator and discriminator, such as cross-entropy loss or Wasserstein distance.
 5. Train the model: Alternately train the generator and discriminator to improve their performance.
 6. Evaluate the model: Use evaluation metrics (like the quality and diversity of the generated images) to assess the model's performance.
 7. Adjust and improve: Tune the model architecture, hyperparameters, or training strategies based on the evaluation results.
 8. Generate images: Use the trained generator model to produce new image samples.
Please complete the following based on the steps above:
 - Implement the Python code for the steps mentioned above.
 - Ensure that the code includes necessary comments explaining the model design and training process.",N,"Complete an image generation task using Generative Adversarial Networks (GAN) to produce realistic images. Here are the recommended steps to implement this task, along with input and output requirements:

1. **Prepare the dataset**: 
   - Input: Image files in cats directory.

2. **Build the generator model**: 
   - Output: Export the generator model architecture to ""generator_model.json"".

3. **Build the discriminator model**: 
   - Output: Export the discriminator model architecture to ""discriminator_model.json"".

4. **Define the loss function**: 
   - Output: Save the chosen loss function details in ""loss_function.txt"".

5. **Train the model**: 
   - Output: Save the training progress and metrics in ""training_progress.csv"".

6. **Evaluate the model**: 
   - Output: Save evaluation metrics related to image quality and diversity to ""evaluation_metrics.csv"".

7. **Adjust and improve**: 
   - Output: Document adjustments and improvements made during tuning in ""model_improvements.txt"".

8. **Generate images**: 
   - Input: Use the trained generator model from the previous steps.
   - Output: Save generated images in ""generated_images.png"" (or multiple images as needed).

Please complete the following based on the steps above:
- Implement the Python code for the steps mentioned above.
- Ensure that the code includes necessary comments explaining the model design and training process.",2=open source data,
19,"Please perform data preprocessing on the facial image files in the 'profile_images1' directory, and save the processed images to the 'processed_images' folder. The specific preprocessing steps include:

1. **Image Resizing:**
   - **Input File:** 'profile_images1/*.jpg'
   - **Output Format:** Image
   - **Output Filename:** 'resized_image_{index}.jpg'

2. **Image Normalization:**
   - **Input File:** 'profile_images1/*.jpg'
   - **Output Format:** Image
   - **Output Filename:** 'normalized_image_{index}.jpg'

3. **Image Data Augmentation:**
   - **Input File:** 'profile_images1/*.jpg'
   - **Output Format:** Image
   - **Output Filename:** 'augmented_image_{index}.jpg'

After preprocessing is completed, please save all processed images to the 'processed_images' folder.","data format,data quality,feature integrity","Please perform data preprocessing on the facial image files in the '/dataset/profile_images1' directory, and save the processed images to the specified folder. The specific preprocessing steps include:\n1. Image resizing: Resize the images to the same appropriate size to improve the training speed of the model.\n2. Image normalization: Normalize the pixel values of the images to between 0 and 1 to enhance the training effect of the model.\n3. Image data augmentation: Apply data augmentation to the images, such as rotation, flipping, cropping, etc., to improve the generalization ability of the model.\nAfter preprocessing is completed, please save the processed images to the '/output/processed_images' folder.",N,"""Please perform data preprocessing on the facial image files in the 'profile_images1' directory, and save the processed images to the 'processed_images' folder. The specific preprocessing steps include:

1. **Image Resizing:**
- **Input File:** pgm files in 'profile_images1/s{index}'(index from 1 to 40) directory.
- **Output Filename:** 'resized_image_{original_name}.jpg'

2. **Image Normalization:**
- **Input File:** pgm files in 'profile_images1/s{index}'(index from 1 to 40) directory.
- **Output Filename:** 'normalized_image_{original_name}.jpg'

3. **Image Data Augmentation:**
- **Input File:** pgm files in 'profile_images1/s{index}'(index from 1 to 40) directory.
- **Output Filename:** 'augmented_image_{original_name}.jpg'

After preprocessing is completed, please save all processed images to the 'processed_images' folder.""
Please complete the Python code for the steps mentioned above.",2=open source data,
20,"We provide a set of real-time photovoltaic power measurement time series data, recorded at 15-minute intervals, covering a period of 3 months. 

1. **Input File**: Use the raw data from the file `solar_power_data.csv`, which includes two columns: 'Time_Forecast' (time) and 'Power_Active' (power).  
   **Output**: Implement a Generative Adversarial Network (GAN) with a DCGAN architecture. Save your code in `code.py` and place it in the `./output/` directory.

2. **Output File**: After running the provided code, save your prediction results in a CSV format titled `predicted_power_data.csv` in the `./output/` directory. The predicted results should include timestamps for every 15 minutes in the next 3 days along with their corresponding predicted power values.

Ensure that the output files allow for further evaluation of the model's performance and the code is executable.","data format，Model performance，feature integrity
","We provide a set of real-time photovoltaic power measurement time series data, recorded at 15-minute intervals, covering a period of 3 months. Please use machine learning or deep learning techniques to predict the power data for every 15 minutes in the next 3 days. The raw data includes two columns: 'Time_Forecast' (time) and 'Power_Active' (power). Please employ a Generative Adversarial Network (GAN), where both the generator and the discriminator use the DCGAN architecture, and provide the corresponding code. Run the code you provide to obtain the prediction results. The dataset path is `./datasets/solar_power_data.csv`. Please save your code to the `./output/code` directory and save the prediction results to `./output/predicted_power_data.csv`.",N,"""We provide a set of real-time photovoltaic power measurement time series data, recorded at 15-minute intervals, covering a period of 3 months. 

1. **Input File**: Use the raw data from the file `solar_power_data.csv`, which includes two columns: 'Time_Forecast' (time) and 'Power_Active' (power).  
**Output**: Implement a Generative Adversarial Network (GAN) with a DCGAN architecture. Save your code in `code.py`.

2. **Output File**: After running the provided code, save your prediction results in a CSV format titled `predicted_power_data.csv` . The predicted results should include timestamps for every 15 minutes in the next 3 days along with their corresponding predicted power values.

Ensure that the output files allow for further evaluation of the model's performance and the code is executable.""",3=human written data,
